StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,D1,D2,D2_3_TEXT,D3,D3_6_TEXT,D4,D4_11_TEXT,D6,D7,D8,D9,D10,D10_8_TEXT,D11,D11_17_TEXT,D12,D12_12_TEXT,D13,D13_6_TEXT,D14_1,D14_2,D14_3,D14_4,D14_5,D15,D12_12_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"You may begin the exam by entering your student ID number provided by your instructor. If you do not have a provided student ID number, you may enter ""0"" in the space below.",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,What is your age?,What gender do you identify as? - Selected Choice,What gender do you identify as? - Other - Text,Which race/ethnicity best describes you? Check all that apply. - Selected Choice,Which race/ethnicity best describes you? Check all that apply. - Multiple ethnicity/Other (please specify) - Text,"What was
  the primary language spoken in your childhood home? (Please choose only one.) - Selected Choice","What was
  the primary language spoken in your childhood home? (Please choose only one.) - Other/multiple languages (please specify) - Text","What is
  your postal code?","Are you
  taking this survey before or after your current programming or computer
  science learning experience?","Is this
  your first programming experience? This could include a previous programming
  workshop, computing course, functions in Excel, etc.","How
  would you identify your programming skills?","What has
  been your previous programming or computer science experience(s)? Please
  select all that apply. - Selected Choice","What has
  been your previous programming or computer science experience(s)? Please
  select all that apply. - Other (please specify) - Text","What
  programming languages (if any) do you consider yourself minimally proficient?
  Please select all that apply. - Selected Choice","What
  programming languages (if any) do you consider yourself minimally proficient?
  Please select all that apply. - Other (please specify) - Text","What
  integrated development environment (IDE) (if any) was used the most in your most
  recent learning experience? - Selected Choice","What
  integrated development environment (IDE) (if any) was used the most in your most
  recent learning experience? - Other (please specify) - Text","Have you
  used any of the following: - Selected Choice","Have you
  used any of the following: - Other (please specify) - Text","Please select the option that best represents how you
feel for each statement. - I would like to take more courses in computing.","Please select the option that best represents how you
feel for each statement. - The skills in this class will be useful in my life.","Please select the option that best represents how you
feel for each statement. - The skills in this class will be useful in myåÊcareer.","Please select the option that best represents how you
feel for each statement. - I know how to use programming to communicate with others.","Please select the option that best represents how you
feel for each statement. - I know how to use programming to communicate withåÊprogrammers.","How many
  times have you seen this assessment before?",D12_12_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_3_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_6_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_11_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_8_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_17_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_12_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_6_TEXT""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID54""}","{""ImportId"":""QID51_12_TEXT_879fad6bf268415381b80725Topic0""}"
1/4/17 14:02,1/6/17 17:06,0,148.162.171.109,100,183789,1,1/8/17 14:59,R_1ombJbjexvGLjFr,,,,,47.7718177,-122.2053223,anonymous,285-uid1-info-pre,5,4,4,3,1,1,3,5,2,3,4,1,1,4,2,4,3,1,3,3,4,3,3,4,4,1,1,4,3,nonbinary,6,Asian/White,2,,98195,2,5,4,"1,2,4,5,7",,"1,2,3,4,5,8",,4,,"1,2",,5,5,5,5,5,1,
1/5/17 17:48,1/5/17 19:16,0,63.124.98.77,100,5281,1,1/8/17 16:20,R_2X0tpy4EnITWwVG,,,,,47.5624486,-122.1530965,anonymous,285-uid2-info-post,4,5,4,4,3,5,4,5,3,1,1,1,2,4,2,4,1,1,1,3,3,2,3,2,3,4,1,3,2,,5,,2,,98195,2,5,3,"1,2,4,5,7",,"1,2,3,8,13",,4,,"1,2,3",,4,4,4,4,4,2,
1/8/17 23:48,1/8/17 23:55,0,23.131.200.252,100,373,1,1/8/17 16:25,R_1K2dkmHe5SFCgjh,,,,,47.2861031,-121.9866869,anonymous,1234567,5,4,1,4,3,4,2,5,2,5,4,1,2,4,5,4,3,1,3,3,4,4,1,2,1,2,1,3,1,,2,,11,Vietnamese and English,98195,2,5,3,2,,"2,8",,12,Sublime,,,2,3,3,3,3,1,
1/5/17 11:26,1/5/17 11:42,0,81.131.104.13,100,963,1,1/8/17 16:53,R_9nLRs0v7MlkR3wd,,,,,47.2261933,-122.2252489,anonymous,285-uid-3info-post,5,4,4,1,1,1,2,3,2,5,5,1,3,2,2,1,3,4,3,3,2,2,4,2,3,5,2,3,1,,2,,6,,,1,4,3,"2,5,7",,"1,2,8",,8,,5,,4,5,4,3,3,1,
1/7/17 14:18,1/7/17 14:34,0,18.58.29.117,100,981,1,1/8/17 17:13,R_1FtYM9tJeE56Nb3,,,,,47.0374795,-122.4791527,anonymous,285-uid-4info-pre,5,4,1,4,1,1,3,1,3,2,5,1,4,5,1,4,4,3,5,2,5,2,3,2,1,4,2,3,1,,2,,10,,98195,1,3,3,"1,2,4,7",,"2,13",,8,,2,,4,4,4,3,3,1,
1/17/17 15:24,1/17/17 16:14,0,232.234.234.110,100,3032,1,1/8/17 17:20,R_2s7vL2LMW9Krqkn,,,,,48.420079,-122.1207022,anonymous,285-uid-5info-post,1,3,4,5,4,1,2,2,3,1,2,1,1,4,4,4,2,1,3,3,4,3,3,2,1,3,1,2,1,,"2,5",,2,,98195,2,3,3,2,,"2,3,8",,8,,"1,2,3",,4,3,4,3,4,2,
1/24/18 1:56,1/24/18 2:26,0,147.38.240.110,7,1789,0,1/8/17 17:21,R_9Nr2t2b1qnu2Ah,,,,,47.7918477,-122.7979263,anonymous,285-uid-6info-post,4,4,1,4,2,1,2,2,3,1,2,1,1,4,1,4,2,1,3,3,4,3,3,4,3,3,2,2,1,,2,,1,,98195,2,3,3,2,,8,,4,,,,4,3,3,3,3,2,
5/1/18 9:05,5/1/18 9:36,0,72.17.86.43,100,1856,1,1/8/17 18:11,R_319cKStTQ7YG9k9,,,,,47.4277488,-121.4184252,anonymous,285-uid-7info-pre,5,4,4,4,2,1,3,5,3,2,3,5,3,3,4,1,1,4,5,4,3,1,3,1,1,2,1,2,1,,5,,11,german,98195,1,5,3,2,,"2,3,4,8",,4,,3,,3,4,3,2,4,1,
